District,Population,Male,Female,Latino,White,Black,American Indian,Other,Asian / Pacific Islander
BAYVIEW,60301,49.0,51.0,17.4,18.8,30.4,0.8,0.9,31.7
CENTRAL,69276,50.7,49.3,5.0,44.8,2.0,0.6,1.0,46.5
INGLESIDE,132328,49.6,50.4,26.4,30.1,6.3,0.6,1.3,35.3
MISSION,83235,55.2,44.8,39.4,45.0,3.0,0.8,1.2,10.6
NORTHEM,82348,50.2,49.8,6.7,65.0,9.3,0.8,1.3,16.5
PARK,59572,54.3,45.7,7.2,66.5,10.4,1.0,1.2,13.7
RICHMOND,93693,47.1,52.9,5.2,52.6,2.9,0.6,1.1,37.7
SOUTHEM,24157,61.1,38.9,11.9,45.2,12.4,1.5,1.6,27.4
TARAVAL,147806,48.2,51.8,7.4,39.7,5.7,0.6,1.3,45.4
TENDERLOIN,21669,62.2,37.8,17.9,33.3,11.1,1.6,2.5,33.7